Date,year,month,decimal_date,average,de_seasonalized,ndays,stdev,uncertainty
1990-01-15,1990,1,1990.0417,353.86,353.78,25,0.34,0.13
1990-02-15,1990,2,1990.125,355.1,354.37,28,0.66,0.24
1990-03-15,1990,3,1990.2083,355.75,354.27,27,0.57,0.21
1990-04-15,1990,4,1990.2917,356.38,353.76,28,0.55,0.2
1990-05-15,1990,5,1990.375,357.38,354.23,28,0.3,0.11
1990-06-15,1990,6,1990.4583,356.39,354.02,29,0.4,0.14
1990-07-15,1990,7,1990.5417,354.89,354.24,30,0.89,0.31
1990-08-15,1990,8,1990.625,353.06,354.68,22,0.62,0.25
1990-09-15,1990,9,1990.7083,351.38,354.69,27,0.72,0.26
1990-10-15,1990,10,1990.7917,351.69,354.94,28,0.3,0.11
1990-11-15,1990,11,1990.875,353.14,355.18,24,0.2,0.08
1990-12-15,1990,12,1990.9583,354.41,355.26,28,0.51,0.19
1991-01-15,1991,1,1991.0417,354.93,354.9,28,0.51,0.18
1991-02-15,1991,2,1991.125,355.82,355.11,26,0.54,0.2
1991-03-15,1991,3,1991.2083,357.33,355.79,30,0.73,0.25
1991-04-15,1991,4,1991.2917,358.77,356.13,30,0.66,0.23
1991-05-15,1991,5,1991.375,359.23,356.1,29,0.52,0.19
1991-06-15,1991,6,1991.4583,358.23,355.88,29,0.3,0.11
1991-07-15,1991,7,1991.5417,356.3,355.69,24,0.46,0.18
1991-08-15,1991,8,1991.625,353.97,355.59,23,0.39,0.15
1991-09-15,1991,9,1991.7083,352.34,355.66,27,0.37,0.14
1991-10-15,1991,10,1991.7917,352.43,355.69,27,0.25,0.09
1991-11-15,1991,11,1991.875,353.89,355.87,28,0.25,0.09
1991-12-15,1991,12,1991.9583,355.21,356.02,30,0.34,0.12
1992-01-15,1992,1,1992.0417,356.34,356.29,31,0.6,0.21
1992-02-15,1992,2,1992.125,357.21,356.47,27,0.56,0.21
1992-03-15,1992,3,1992.2083,357.97,356.38,24,0.72,0.28
1992-04-15,1992,4,1992.2917,359.22,356.51,27,0.53,0.2
1992-05-15,1992,5,1992.375,359.71,356.52,26,0.74,0.28
1992-06-15,1992,6,1992.4583,359.44,357.07,30,0.49,0.17
1992-07-15,1992,7,1992.5417,357.15,356.58,25,0.63,0.24
1992-08-15,1992,8,1992.625,354.99,356.67,24,0.62,0.24
1992-09-15,1992,9,1992.7083,353.01,356.36,25,0.98,0.38
1992-10-15,1992,10,1992.7917,353.4,356.72,29,0.56,0.2
1992-11-15,1992,11,1992.875,354.42,356.48,29,0.34,0.12
1992-12-15,1992,12,1992.9583,355.68,356.5,31,0.32,0.11
1993-01-15,1993,1,1993.0417,357.1,357.06,28,0.58,0.21
1993-02-15,1993,2,1993.125,357.42,356.54,28,0.49,0.18
1993-03-15,1993,3,1993.2083,358.59,356.88,30,0.72,0.25
1993-04-15,1993,4,1993.2917,359.39,356.71,25,0.53,0.2
1993-05-15,1993,5,1993.375,360.3,357.14,30,0.45,0.16
1993-06-15,1993,6,1993.4583,359.64,357.24,28,0.35,0.13
1993-07-15,1993,7,1993.5417,357.45,356.87,25,0.78,0.3
1993-08-15,1993,8,1993.625,355.76,357.44,27,0.62,0.23
1993-09-15,1993,9,1993.7083,354.14,357.51,23,0.73,0.29
1993-10-15,1993,10,1993.7917,354.22,357.6,28,0.29,0.11
1993-11-15,1993,11,1993.875,355.53,357.65,29,0.26,0.09
1993-12-15,1993,12,1993.9583,357.03,357.92,29,0.28,0.1
1994-01-15,1994,1,1994.0417,358.36,358.25,27,0.33,0.12
1994-02-15,1994,2,1994.125,359.04,358.21,25,0.5,0.19
1994-03-15,1994,3,1994.2083,360.11,358.41,29,0.82,0.29
1994-04-15,1994,4,1994.2917,361.36,358.59,28,0.5,0.18
1994-05-15,1994,5,1994.375,361.78,358.59,30,0.45,0.16
1994-06-15,1994,6,1994.4583,360.94,358.57,27,0.3,0.11
1994-07-15,1994,7,1994.5417,359.51,358.91,31,0.41,0.14
1994-08-15,1994,8,1994.625,357.59,359.29,24,0.43,0.17
1994-09-15,1994,9,1994.7083,355.86,359.31,24,0.58,0.23
1994-10-15,1994,10,1994.7917,356.21,359.64,28,0.28,0.1
1994-11-15,1994,11,1994.875,357.65,359.8,28,0.51,0.18
1994-12-15,1994,12,1994.9583,359.1,359.96,28,0.46,0.17
1995-01-15,1995,1,1995.0417,360.04,359.91,30,0.47,0.16
1995-02-15,1995,2,1995.125,361.0,360.18,28,0.52,0.19
1995-03-15,1995,3,1995.2083,361.98,360.37,29,0.78,0.28
1995-04-15,1995,4,1995.2917,363.44,360.76,29,0.65,0.23
1995-05-15,1995,5,1995.375,363.83,360.73,29,0.66,0.24
1995-06-15,1995,6,1995.4583,363.33,360.98,27,0.37,0.14
1995-07-15,1995,7,1995.5417,361.78,361.1,28,0.36,0.13
1995-08-15,1995,8,1995.625,359.33,360.93,24,0.7,0.28
1995-09-15,1995,9,1995.7083,358.32,361.7,24,0.68,0.26
1995-10-15,1995,10,1995.7917,358.14,361.52,29,0.26,0.09
1995-11-15,1995,11,1995.875,359.61,361.75,26,0.24,0.09
1995-12-15,1995,12,1995.9583,360.82,361.67,30,0.36,0.12
1996-01-15,1996,1,1996.0417,362.2,361.98,29,0.38,0.13
1996-02-15,1996,2,1996.125,363.36,362.47,28,0.55,0.2
