Region,Year,annual_rainfall_mm,rainfall_std_mm,mean_temp_C,max_temp_C,min_temp_C
North_Central,1990,1121.73,79.70694918090437,24.419662378392218,39.27,14.5
North_Central,1991,1157.7,90.12151771106308,24.302004096262163,38.91,13.57
North_Central,1992,1461.6200000000001,112.73892953781908,23.910856878012606,39.36,12.43
North_Central,1993,1330.6799999999998,106.88368826992178,24.091002816180236,38.6,12.31
North_Central,1994,1630.55,133.50976222109503,23.79311354326677,38.82,13.09
North_Central,1995,1756.64,144.03757352815546,23.848716333845363,38.81,13.54
North_Central,1996,1657.52,136.76605601825287,23.731693486590036,38.21,13.33
North_Central,1997,1356.96,98.93186792388532,23.961581925243213,37.43,14.28
North_Central,1998,1375.48,117.16384924411187,24.897246799795187,40.49,13.8
North_Central,1999,624.12,55.11864145970613,25.600561571940602,39.67,14.71
North_Central,2000,1710.12,167.89913211102777,24.72988323445804,40.37,13.22
North_Central,2001,822.26,68.57608486310309,24.594881720430106,38.79,13.94
North_Central,2002,1089.47,88.50694902952621,24.91706714029698,39.98,14.11
North_Central,2003,858.91,66.28573882796884,25.44201235279058,40.7,15.63
North_Central,2004,558.0400000000001,51.966626411631346,26.035557193177606,40.95,17.33
North_Central,2005,772.4,75.39818075130236,26.04854269073221,40.89,14.43
North_Central,2006,994.01,123.68262540274262,25.508418266769073,40.55,14.19
North_Central,2007,1522.8500000000001,140.24033290023843,24.717953725038402,40.05,13.34
North_Central,2008,1102.42,101.5322736718217,24.646153967371152,38.94,13.98
North_Central,2009,997.37,75.01079988403286,25.215705837173576,39.46,14.8
North_Central,2010,1178.56,100.51115653438073,25.11086059907834,39.9,14.01
North_Central,2011,864.8599999999999,79.26783066785592,25.070075268817202,40.02,13.73
North_Central,2012,1284.2,113.04608218319508,24.91587918675071,39.28,14.26
North_Central,2013,565.78,35.320117840154836,25.702635560675883,39.28,15.49
North_Central,2014,863.1899999999999,68.74920933429642,25.64684741423451,40.03,16.26
