Date,Temperature,Temperature_Max,Temperature_Min,Rainfall,Humidity,Region,Latitude,Longitude
1990-01-01,24.44,30.87,19.67,0.0,59.82,North Central,8.9,8.3
1990-01-02,24.48,30.91,19.65,0.0,58.76,North Central,8.9,8.3
1990-01-03,24.42,30.14,20.12,0.0,65.53,North Central,8.9,8.3
1990-01-04,24.37,30.7,19.47,0.0,67.33,North Central,8.9,8.3
1990-01-05,24.24,30.89,19.21,0.0,59.99,North Central,8.9,8.3
1990-01-06,24.06,31.29,18.71,0.0,63.22,North Central,8.9,8.3
1990-01-07,23.3,32.28,17.05,0.0,51.48,North Central,8.9,8.3
1990-01-08,23.31,32.71,16.87,0.0,45.41,North Central,8.9,8.3
1990-01-09,23.26,32.45,16.79,0.0,50.51,North Central,8.9,8.3
1990-01-10,22.76,32.5,15.86,0.0,47.53,North Central,8.9,8.3
1990-01-11,22.02,31.04,15.13,0.0,44.63,North Central,8.9,8.3
1990-01-12,22.29,31.25,15.11,0.0,49.21,North Central,8.9,8.3
1990-01-13,22.87,33.09,14.92,0.0,44.73,North Central,8.9,8.3
1990-01-14,22.76,32.93,15.07,0.0,42.69,North Central,8.9,8.3
1990-01-15,23.27,33.5,15.5,0.0,46.16,North Central,8.9,8.3
1990-01-16,23.87,32.34,17.08,0.0,48.97,North Central,8.9,8.3
1990-01-17,23.93,32.89,17.05,0.0,48.49,North Central,8.9,8.3
1990-01-18,23.63,32.62,16.11,0.0,46.48,North Central,8.9,8.3
1990-01-19,24.33,33.45,16.49,0.0,50.39,North Central,8.9,8.3
1990-01-20,24.55,33.36,17.08,0.0,51.2,North Central,8.9,8.3
1990-01-21,24.79,33.26,17.53,0.0,48.85,North Central,8.9,8.3
1990-01-22,25.17,33.24,18.45,0.0,50.55,North Central,8.9,8.3
1990-01-23,24.8,32.15,19.7,0.0,63.22,North Central,8.9,8.3
1990-01-24,24.94,32.12,19.57,0.0,64.42,North Central,8.9,8.3
1990-01-25,25.3,32.66,20.08,0.0,56.5,North Central,8.9,8.3
1990-01-26,24.98,31.99,19.04,0.06,56.27,North Central,8.9,8.3
1990-01-27,24.52,33.4,17.15,0.0,45.9,North Central,8.9,8.3
1990-01-28,25.12,34.34,18.48,0.0,43.6,North Central,8.9,8.3
1990-01-29,25.58,35.79,18.78,0.0,38.93,North Central,8.9,8.3
1990-01-30,25.04,32.82,19.95,0.0,41.2,North Central,8.9,8.3
1990-01-31,25.81,35.05,19.6,0.0,45.32,North Central,8.9,8.3
1990-02-01,26.27,34.69,19.47,0.0,46.1,North Central,8.9,8.3
1990-02-02,26.32,34.15,19.33,0.0,45.48,North Central,8.9,8.3
1990-02-03,25.34,33.69,18.62,0.0,45.37,North Central,8.9,8.3
1990-02-04,25.24,35.33,17.05,0.0,34.03,North Central,8.9,8.3
1990-02-05,24.44,34.1,17.05,0.0,34.52,North Central,8.9,8.3
1990-02-06,24.04,33.81,16.4,0.0,36.65,North Central,8.9,8.3
1990-02-07,23.79,33.15,16.5,0.0,39.37,North Central,8.9,8.3
1990-02-08,24.5,32.34,17.8,0.0,43.3,North Central,8.9,8.3
1990-02-09,25.65,32.7,19.83,0.71,52.17,North Central,8.9,8.3
1990-02-10,25.96,32.78,20.24,0.18,46.53,North Central,8.9,8.3
1990-02-11,25.43,34.28,18.02,0.0,35.5,North Central,8.9,8.3
1990-02-12,25.18,34.81,17.43,0.0,33.94,North Central,8.9,8.3
1990-02-13,25.93,35.32,18.16,0.0,35.67,North Central,8.9,8.3
1990-02-14,25.59,35.21,17.84,0.0,37.61,North Central,8.9,8.3
1990-02-15,26.21,35.19,19.18,0.0,39.42,North Central,8.9,8.3
1990-02-16,27.05,35.74,19.98,0.0,39.34,North Central,8.9,8.3
1990-02-17,27.72,35.12,22.8,0.04,43.11,North Central,8.9,8.3
1990-02-18,27.94,34.6,22.3,0.24,58.94,North Central,8.9,8.3
1990-02-19,27.96,34.78,22.75,0.02,61.05,North Central,8.9,8.3
1990-02-20,27.25,34.29,21.38,0.06,45.57,North Central,8.9,8.3
1990-02-21,26.68,33.76,21.68,0.0,46.84,North Central,8.9,8.3
1990-02-22,25.6,34.74,17.52,0.0,30.58,North Central,8.9,8.3
1990-02-23,25.06,35.02,16.68,0.0,28.78,North Central,8.9,8.3
1990-02-24,23.71,32.14,17.93,0.0,30.08,North Central,8.9,8.3
1990-02-25,23.75,31.29,17.51,0.0,34.45,North Central,8.9,8.3
1990-02-26,26.0,35.13,18.56,0.0,34.58,North Central,8.9,8.3
1990-02-27,26.86,37.06,19.11,0.0,24.38,North Central,8.9,8.3
1990-02-28,26.18,36.41,18.44,0.0,28.93,North Central,8.9,8.3
1990-03-01,26.17,36.82,18.45,0.0,28.48,North Central,8.9,8.3
1990-03-02,26.29,35.71,18.7,0.0,28.79,North Central,8.9,8.3
1990-03-03,27.53,36.88,20.05,0.0,34.83,North Central,8.9,8.3
1990-03-04,28.35,38.27,20.82,0.01,37.17,North Central,8.9,8.3
1990-03-05,27.85,37.35,19.37,0.0,29.79,North Central,8.9,8.3
