Date,Temperature,Temperature_Max,Temperature_Min,Rainfall,Humidity,Region,Latitude,Longitude
1990-01-01,25.05,34.52,16.72,0.0,15.83,North East,11.5,12.5
1990-01-02,25.23,34.36,17.37,0.0,15.98,North East,11.5,12.5
1990-01-03,24.69,33.57,16.84,0.0,27.87,North East,11.5,12.5
1990-01-04,24.29,33.26,16.66,0.0,28.06,North East,11.5,12.5
1990-01-05,24.8,34.17,16.54,0.0,26.04,North East,11.5,12.5
1990-01-06,24.64,33.28,17.39,0.0,24.85,North East,11.5,12.5
1990-01-07,23.52,31.61,16.9,0.0,18.77,North East,11.5,12.5
1990-01-08,24.38,34.25,16.48,0.0,20.18,North East,11.5,12.5
1990-01-09,24.53,33.83,16.82,0.0,20.61,North East,11.5,12.5
1990-01-10,23.43,33.07,15.88,0.0,18.97,North East,11.5,12.5
1990-01-11,23.24,34.35,14.4,0.0,17.53,North East,11.5,12.5
1990-01-12,23.07,33.61,14.8,0.0,14.82,North East,11.5,12.5
1990-01-13,22.7,33.63,13.69,0.0,16.8,North East,11.5,12.5
1990-01-14,24.27,35.25,14.3,0.0,16.79,North East,11.5,12.5
1990-01-15,24.84,35.51,15.88,0.0,17.29,North East,11.5,12.5
1990-01-16,25.45,36.06,16.64,0.0,18.94,North East,11.5,12.5
1990-01-17,25.64,35.83,16.37,0.0,20.48,North East,11.5,12.5
1990-01-18,26.16,36.74,17.12,0.0,22.01,North East,11.5,12.5
1990-01-19,26.09,35.98,17.85,0.0,23.0,North East,11.5,12.5
1990-01-20,25.33,35.82,16.58,0.0,17.72,North East,11.5,12.5
1990-01-21,24.93,35.99,14.71,0.0,14.84,North East,11.5,12.5
1990-01-22,25.67,36.88,16.37,0.0,13.09,North East,11.5,12.5
1990-01-23,26.6,37.15,17.2,0.0,15.5,North East,11.5,12.5
1990-01-24,27.55,37.67,18.31,0.0,19.1,North East,11.5,12.5
1990-01-25,27.01,36.49,18.73,0.0,17.23,North East,11.5,12.5
1990-01-26,25.11,33.38,17.98,0.0,19.77,North East,11.5,12.5
1990-01-27,24.7,32.47,18.6,0.0,21.93,North East,11.5,12.5
1990-01-28,25.13,33.49,18.49,0.0,21.53,North East,11.5,12.5
1990-01-29,25.15,34.29,17.62,0.0,21.28,North East,11.5,12.5
1990-01-30,25.31,34.51,17.57,0.0,20.41,North East,11.5,12.5
1990-01-31,25.67,35.52,17.25,0.0,19.93,North East,11.5,12.5
1990-02-01,25.05,34.62,16.36,0.0,17.92,North East,11.5,12.5
1990-02-02,25.43,35.93,16.01,0.0,16.18,North East,11.5,12.5
1990-02-03,24.87,34.39,17.2,0.0,16.83,North East,11.5,12.5
1990-02-04,23.85,32.29,16.39,0.0,18.37,North East,11.5,12.5
1990-02-05,23.14,31.96,15.74,0.0,20.52,North East,11.5,12.5
1990-02-06,22.14,30.79,15.11,0.0,19.14,North East,11.5,12.5
1990-02-07,22.29,31.15,14.61,0.0,17.52,North East,11.5,12.5
1990-02-08,22.79,31.99,14.79,0.0,17.06,North East,11.5,12.5
1990-02-09,23.42,32.25,15.22,0.0,15.1,North East,11.5,12.5
1990-02-10,23.71,31.38,17.09,0.0,13.87,North East,11.5,12.5
1990-02-11,23.29,31.22,16.45,0.0,15.92,North East,11.5,12.5
1990-02-12,23.0,31.45,16.04,0.0,17.29,North East,11.5,12.5
1990-02-13,24.16,33.24,16.34,0.0,17.38,North East,11.5,12.5
1990-02-14,24.77,34.3,16.6,0.0,15.12,North East,11.5,12.5
1990-02-15,25.45,35.18,16.75,0.0,13.51,North East,11.5,12.5
1990-02-16,26.6,36.61,17.8,0.0,13.16,North East,11.5,12.5
1990-02-17,27.01,36.88,18.23,0.0,14.93,North East,11.5,12.5
1990-02-18,26.95,36.56,18.24,0.0,11.23,North East,11.5,12.5
1990-02-19,25.87,35.19,18.15,0.0,10.8,North East,11.5,12.5
1990-02-20,24.34,33.44,16.85,0.0,12.59,North East,11.5,12.5
1990-02-21,23.84,31.96,17.19,0.0,14.18,North East,11.5,12.5
1990-02-22,22.74,32.17,14.25,0.0,14.03,North East,11.5,12.5
1990-02-23,21.92,30.63,14.03,0.0,15.2,North East,11.5,12.5
1990-02-24,21.1,28.66,14.66,0.0,16.74,North East,11.5,12.5
1990-02-25,21.76,29.37,15.61,0.0,15.41,North East,11.5,12.5
1990-02-26,23.3,31.58,16.72,0.0,14.83,North East,11.5,12.5
1990-02-27,24.32,33.74,16.74,0.0,15.22,North East,11.5,12.5
1990-02-28,24.95,34.65,16.8,0.0,13.54,North East,11.5,12.5
1990-03-01,25.06,35.03,16.39,0.0,11.45,North East,11.5,12.5
1990-03-02,25.65,36.42,16.53,0.0,10.28,North East,11.5,12.5
1990-03-03,26.63,37.8,16.46,0.0,10.58,North East,11.5,12.5
1990-03-04,27.3,37.84,17.97,0.0,10.04,North East,11.5,12.5
1990-03-05,26.99,37.13,18.2,0.0,9.34,North East,11.5,12.5
1990-03-06,26.72,36.61,18.1,0.0,8.01,North East,11.5,12.5
1990-03-07,26.48,35.73,18.36,0.0,12.84,North East,11.5,12.5
1990-03-08,26.95,36.54,18.61,0.0,13.81,North East,11.5,12.5
1990-03-09,26.45,35.67,19.07,0.0,15.94,North East,11.5,12.5
1990-03-10,25.37,34.27,17.67,0.0,14.95,North East,11.5,12.5
1990-03-11,24.71,33.96,16.86,0.0,12.23,North East,11.5,12.5
1990-03-12,24.35,34.07,15.7,0.0,10.18,North East,11.5,12.5
1990-03-13,24.59,34.53,16.55,0.0,13.54,North East,11.5,12.5
1990-03-14,25.48,36.06,16.03,0.0,13.94,North East,11.5,12.5
1990-03-15,27.41,36.94,17.95,0.0,12.57,North East,11.5,12.5
1990-03-16,28.29,37.47,20.04,0.0,12.22,North East,11.5,12.5
1990-03-17,28.52,36.97,20.37,0.0,10.13,North East,11.5,12.5
1990-03-18,29.76,38.58,21.89,0.0,9.76,North East,11.5,12.5
1990-03-19,28.5,36.4,21.17,0.0,12.57,North East,11.5,12.5
1990-03-20,28.3,36.22,21.79,0.0,12.39,North East,11.5,12.5
1990-03-21,27.39,35.63,20.47,0.0,12.21,North East,11.5,12.5
1990-03-22,26.83,34.8,19.27,0.0,11.99,North East,11.5,12.5
1990-03-23,26.86,35.32,19.76,0.0,10.6,North East,11.5,12.5
1990-03-24,26.63,35.49,18.93,0.0,12.07,North East,11.5,12.5
1990-03-25,27.61,36.72,20.3,0.0,12.81,North East,11.5,12.5
1990-03-26,29.21,38.86,21.41,0.0,12.39,North East,11.5,12.5
1990-03-27,30.46,40.53,21.11,0.0,15.19,North East,11.5,12.5
1990-03-28,32.15,41.55,23.59,0.0,14.51,North East,11.5,12.5
1990-03-29,32.34,41.55,24.32,0.0,14.62,North East,11.5,12.5
1990-03-30,32.26,41.46,24.21,0.0,11.08,North East,11.5,12.5
1990-03-31,31.41,41.47,22.81,0.0,5.77,North East,11.5,12.5
1990-04-01,30.45,40.98,22.02,0.0,6.58,North East,11.5,12.5
1990-04-02,29.87,40.33,20.12,0.0,8.22,North East,11.5,12.5
1990-04-03,30.54,40.48,19.92,0.0,8.65,North East,11.5,12.5
1990-04-04,32.23,41.07,22.14,0.0,10.86,North East,11.5,12.5
1990-04-05,32.99,42.06,24.34,0.0,11.75,North East,11.5,12.5
1990-04-06,34.44,41.94,25.79,0.4,24.14,North East,11.5,12.5
1990-04-07,35.17,42.7,29.31,0.04,26.31,North East,11.5,12.5
1990-04-08,33.24,43.03,24.56,0.0,13.14,North East,11.5,12.5
1990-04-09,31.57,41.87,21.91,0.0,11.44,North East,11.5,12.5
1990-04-10,32.13,42.11,21.51,0.0,8.05,North East,11.5,12.5
1990-04-11,31.67,41.78,21.56,0.0,13.87,North East,11.5,12.5
1990-04-12,32.55,41.84,23.16,0.0,15.72,North East,11.5,12.5
1990-04-13,33.05,42.06,23.6,0.0,28.41,North East,11.5,12.5
1990-04-14,33.39,41.39,25.1,0.0,28.78,North East,11.5,12.5
1990-04-15,33.05,41.07,25.69,0.0,32.54,North East,11.5,12.5
1990-04-16,34.1,42.02,26.44,0.0,27.61,North East,11.5,12.5
1990-04-17,34.1,41.94,27.39,0.0,37.2,North East,11.5,12.5
1990-04-18,33.78,39.77,27.93,1.46,41.32,North East,11.5,12.5
1990-04-19,33.24,38.7,28.03,1.74,44.81,North East,11.5,12.5
1990-04-20,32.86,38.75,27.22,0.54,46.68,North East,11.5,12.5
1990-04-21,32.22,37.93,27.41,0.41,47.75,North East,11.5,12.5
