Date,Temperature,Temperature_Max,Temperature_Min,Rainfall,Humidity,Region,Latitude,Longitude
1990-01-01,24.11,31.94,15.56,0.0,31.16,North West,12.0,7.0
1990-01-02,24.09,32.61,16.46,0.0,32.08,North West,12.0,7.0
1990-01-03,22.13,31.18,15.08,0.0,42.48,North West,12.0,7.0
1990-01-04,22.03,30.97,14.76,0.0,42.72,North West,12.0,7.0
1990-01-05,23.46,31.78,16.0,0.0,42.16,North West,12.0,7.0
1990-01-06,22.88,32.0,15.95,0.0,40.67,North West,12.0,7.0
1990-01-07,21.56,30.21,15.88,0.0,31.35,North West,12.0,7.0
1990-01-08,21.1,30.23,14.39,0.0,30.21,North West,12.0,7.0
1990-01-09,21.65,30.22,16.69,0.0,30.22,North West,12.0,7.0
1990-01-10,21.4,30.74,15.25,0.0,28.61,North West,12.0,7.0
1990-01-11,21.1,30.25,14.34,0.0,30.84,North West,12.0,7.0
1990-01-12,20.41,30.16,13.82,0.0,30.24,North West,12.0,7.0
1990-01-13,20.94,31.13,13.54,0.0,28.9,North West,12.0,7.0
1990-01-14,21.49,31.8,13.24,0.0,28.39,North West,12.0,7.0
1990-01-15,22.02,32.47,13.6,0.0,27.83,North West,12.0,7.0
1990-01-16,22.57,32.74,14.92,0.0,29.81,North West,12.0,7.0
1990-01-17,22.19,32.44,14.49,0.0,32.04,North West,12.0,7.0
1990-01-18,22.86,32.67,15.76,0.0,32.3,North West,12.0,7.0
1990-01-19,23.31,33.03,15.91,0.0,34.82,North West,12.0,7.0
1990-01-20,23.15,33.06,15.63,0.0,33.24,North West,12.0,7.0
1990-01-21,23.31,32.98,14.73,0.0,30.67,North West,12.0,7.0
1990-01-22,24.41,34.17,15.94,0.0,31.02,North West,12.0,7.0
1990-01-23,24.81,32.77,17.65,0.0,29.0,North West,12.0,7.0
1990-01-24,23.85,33.89,14.39,0.0,26.75,North West,12.0,7.0
1990-01-25,24.5,34.45,16.47,0.0,28.24,North West,12.0,7.0
1990-01-26,22.15,30.92,15.52,0.0,28.69,North West,12.0,7.0
1990-01-27,21.45,30.23,14.74,0.0,28.59,North West,12.0,7.0
1990-01-28,21.83,30.24,15.81,0.0,30.84,North West,12.0,7.0
1990-01-29,22.89,31.82,16.47,0.0,28.88,North West,12.0,7.0
1990-01-30,23.59,33.29,16.28,0.0,28.71,North West,12.0,7.0
1990-01-31,24.27,33.5,16.21,0.0,30.22,North West,12.0,7.0
1990-02-01,23.47,33.7,15.38,0.0,27.36,North West,12.0,7.0
1990-02-02,23.29,33.6,14.48,0.0,26.82,North West,12.0,7.0
1990-02-03,23.34,33.11,16.04,0.0,23.15,North West,12.0,7.0
1990-02-04,22.0,29.77,16.07,0.0,24.1,North West,12.0,7.0
1990-02-05,21.41,30.13,15.12,0.0,26.22,North West,12.0,7.0
1990-02-06,20.45,29.67,13.77,0.0,24.86,North West,12.0,7.0
