Date,Temperature,Temperature_Max,Temperature_Min,Rainfall,Humidity,Region,Latitude,Longitude
1990-01-01,25.6,29.75,22.35,0.13,86.7,South East,6.0,7.5
1990-01-02,25.66,30.04,21.79,0.17,85.52,South East,6.0,7.5
1990-01-03,25.71,29.71,22.36,0.17,85.0,South East,6.0,7.5
1990-01-04,25.72,29.68,22.84,0.11,83.98,South East,6.0,7.5
1990-01-05,25.78,30.25,21.89,0.13,83.18,South East,6.0,7.5
1990-01-06,26.05,30.38,22.12,0.0,80.8,South East,6.0,7.5
1990-01-07,24.98,30.18,21.53,0.0,75.86,South East,6.0,7.5
1990-01-08,23.88,27.55,19.45,0.0,65.6,South East,6.0,7.5
1990-01-09,23.66,28.12,19.35,0.0,66.01,South East,6.0,7.5
1990-01-10,23.92,29.19,19.52,0.0,65.76,South East,6.0,7.5
1990-01-11,23.94,29.5,17.73,0.0,70.87,South East,6.0,7.5
1990-01-12,25.91,31.25,20.69,0.0,68.89,South East,6.0,7.5
1990-01-13,24.83,30.52,20.44,0.0,71.64,South East,6.0,7.5
1990-01-14,24.06,30.57,16.75,0.0,61.55,South East,6.0,7.5
1990-01-15,25.46,31.22,19.92,0.0,70.19,South East,6.0,7.5
1990-01-16,26.04,30.99,20.96,0.02,79.46,South East,6.0,7.5
1990-01-17,26.68,31.44,21.37,0.04,77.11,South East,6.0,7.5
1990-01-18,26.42,31.12,21.49,0.06,79.46,South East,6.0,7.5
1990-01-19,26.87,31.95,21.88,0.09,77.85,South East,6.0,7.5
1990-01-20,26.82,31.41,22.19,0.06,78.25,South East,6.0,7.5
1990-01-21,26.93,31.8,22.16,0.47,77.94,South East,6.0,7.5
1990-01-22,26.05,30.28,22.09,0.85,83.81,South East,6.0,7.5
1990-01-23,25.94,29.68,22.72,0.79,84.67,South East,6.0,7.5
1990-01-24,25.79,29.3,22.64,0.52,85.11,South East,6.0,7.5
1990-01-25,25.63,28.67,22.87,0.69,86.72,South East,6.0,7.5
1990-01-26,26.82,30.61,22.96,1.03,83.04,South East,6.0,7.5
1990-01-27,26.07,31.04,22.95,0.7,72.71,South East,6.0,7.5
1990-01-28,24.63,29.81,20.13,0.0,68.62,South East,6.0,7.5
1990-01-29,24.79,29.88,20.0,0.0,62.52,South East,6.0,7.5
1990-01-30,25.33,31.18,19.37,0.0,64.08,South East,6.0,7.5
1990-01-31,26.1,31.94,20.05,0.0,62.9,South East,6.0,7.5
1990-02-01,26.53,32.57,20.01,0.0,65.13,South East,6.0,7.5
1990-02-02,27.02,32.54,21.32,0.0,76.51,South East,6.0,7.5
1990-02-03,27.82,32.36,22.72,0.0,74.82,South East,6.0,7.5
1990-02-04,25.72,31.56,21.73,0.0,67.94,South East,6.0,7.5
1990-02-05,23.33,29.82,17.01,0.0,58.26,South East,6.0,7.5
1990-02-06,23.27,29.65,17.16,0.0,58.22,South East,6.0,7.5
1990-02-07,23.66,29.77,17.51,0.0,56.49,South East,6.0,7.5
1990-02-08,24.9,31.03,18.11,0.03,56.91,South East,6.0,7.5
1990-02-09,26.2,31.53,20.02,18.05,57.83,South East,6.0,7.5
1990-02-10,26.78,32.05,21.92,0.75,74.62,South East,6.0,7.5
1990-02-11,25.03,29.77,22.02,0.22,65.33,South East,6.0,7.5
1990-02-12,23.49,29.67,17.82,0.0,55.58,South East,6.0,7.5
1990-02-13,24.77,30.85,17.48,0.0,53.86,South East,6.0,7.5
1990-02-14,25.27,31.38,18.93,0.0,55.47,South East,6.0,7.5
1990-02-15,26.03,32.13,19.18,0.02,53.65,South East,6.0,7.5
1990-02-16,26.53,33.02,19.58,0.08,70.31,South East,6.0,7.5
1990-02-17,27.01,32.56,21.98,0.29,80.49,South East,6.0,7.5
1990-02-18,26.97,31.09,23.39,0.35,83.49,South East,6.0,7.5
1990-02-19,26.99,30.85,23.39,0.16,82.11,South East,6.0,7.5
