Date,Temperature,Temperature_Max,Temperature_Min,Rainfall,Humidity,Region,Latitude,Longitude
1990-01-01,26.05,30.61,22.95,0.07,87.48,South South,5.5,6.5
1990-01-02,26.28,31.64,22.73,0.05,85.36,South South,5.5,6.5
1990-01-03,26.16,31.21,22.91,0.08,85.03,South South,5.5,6.5
1990-01-04,26.21,31.62,22.46,0.14,84.17,South South,5.5,6.5
1990-01-05,25.92,30.75,22.55,0.1,85.09,South South,5.5,6.5
1990-01-06,26.21,31.36,22.69,0.0,84.38,South South,5.5,6.5
1990-01-07,26.56,31.41,22.31,0.0,79.97,South South,5.5,6.5
1990-01-08,24.58,28.35,21.22,0.0,70.21,South South,5.5,6.5
1990-01-09,24.98,29.81,20.35,0.0,64.82,South South,5.5,6.5
1990-01-10,24.81,30.24,20.35,0.0,76.28,South South,5.5,6.5
1990-01-11,25.99,31.88,21.2,0.0,81.88,South South,5.5,6.5
1990-01-12,26.74,33.11,22.36,0.0,81.22,South South,5.5,6.5
1990-01-13,26.43,32.24,22.15,0.0,81.4,South South,5.5,6.5
1990-01-14,26.11,32.1,21.0,0.0,77.29,South South,5.5,6.5
1990-01-15,26.1,31.62,22.29,0.0,84.27,South South,5.5,6.5
1990-01-16,26.7,32.71,22.05,0.04,81.47,South South,5.5,6.5
1990-01-17,27.07,32.84,22.41,0.07,80.95,South South,5.5,6.5
1990-01-18,26.83,32.59,22.73,0.08,82.55,South South,5.5,6.5
1990-01-19,27.03,33.14,22.47,0.12,81.53,South South,5.5,6.5
1990-01-20,27.08,32.38,22.72,0.07,82.26,South South,5.5,6.5
1990-01-21,27.49,33.07,22.74,0.79,80.31,South South,5.5,6.5
1990-01-22,26.85,31.3,23.76,1.38,85.07,South South,5.5,6.5
1990-01-23,26.2,30.26,23.29,1.65,86.48,South South,5.5,6.5
1990-01-24,26.07,29.51,23.09,1.73,87.18,South South,5.5,6.5
1990-01-25,26.42,30.7,23.35,0.81,86.96,South South,5.5,6.5
1990-01-26,27.18,32.97,23.39,0.25,83.76,South South,5.5,6.5
1990-01-27,25.55,29.47,23.02,0.32,85.93,South South,5.5,6.5
1990-01-28,26.65,32.01,22.51,0.03,72.05,South South,5.5,6.5
1990-01-29,25.89,31.0,21.59,0.02,71.56,South South,5.5,6.5
1990-01-30,25.84,31.82,20.64,0.04,71.1,South South,5.5,6.5
1990-01-31,26.45,32.98,21.05,0.0,75.15,South South,5.5,6.5
1990-02-01,27.89,34.31,22.71,0.0,77.19,South South,5.5,6.5
1990-02-02,27.75,33.68,23.22,0.0,81.79,South South,5.5,6.5
1990-02-03,27.92,33.65,23.46,0.0,81.24,South South,5.5,6.5
1990-02-04,27.26,33.37,23.38,0.0,77.41,South South,5.5,6.5
1990-02-05,25.51,31.9,20.02,0.36,65.61,South South,5.5,6.5
1990-02-06,25.49,31.87,20.05,0.2,67.22,South South,5.5,6.5
1990-02-07,25.91,31.38,21.29,2.41,56.93,South South,5.5,6.5
1990-02-08,26.53,32.44,20.43,2.35,66.39,South South,5.5,6.5
1990-02-09,27.43,33.27,22.85,33.87,79.39,South South,5.5,6.5
1990-02-10,27.48,33.48,23.64,1.12,80.92,South South,5.5,6.5
1990-02-11,25.66,30.77,21.68,1.2,76.07,South South,5.5,6.5
1990-02-12,24.77,31.02,18.28,0.03,57.39,South South,5.5,6.5
1990-02-13,25.65,32.14,19.16,0.0,59.3,South South,5.5,6.5
1990-02-14,26.2,32.81,20.22,0.05,69.47,South South,5.5,6.5
1990-02-15,26.98,33.4,21.27,0.29,74.98,South South,5.5,6.5
1990-02-16,27.78,35.02,22.15,0.35,78.31,South South,5.5,6.5
1990-02-17,27.82,33.95,23.2,0.52,81.99,South South,5.5,6.5
1990-02-18,27.32,31.76,24.11,0.69,84.86,South South,5.5,6.5
1990-02-19,27.5,32.8,23.74,0.39,82.57,South South,5.5,6.5
1990-02-20,26.22,29.76,23.78,5.09,87.35,South South,5.5,6.5
1990-02-21,26.63,31.29,22.75,15.11,83.52,South South,5.5,6.5
1990-02-22,27.06,32.46,22.48,3.75,79.03,South South,5.5,6.5
1990-02-23,25.97,31.56,22.03,6.66,71.49,South South,5.5,6.5
1990-02-24,22.39,27.2,19.6,0.02,72.49,South South,5.5,6.5
1990-02-25,22.56,29.18,18.12,0.0,65.83,South South,5.5,6.5
1990-02-26,23.35,31.39,16.86,0.0,64.11,South South,5.5,6.5
1990-02-27,23.96,31.38,17.0,0.0,64.0,South South,5.5,6.5
1990-02-28,26.49,34.26,20.02,0.0,70.75,South South,5.5,6.5
1990-03-01,27.16,34.29,21.82,0.0,77.59,South South,5.5,6.5
1990-03-02,27.1,33.65,22.09,0.06,80.8,South South,5.5,6.5
1990-03-03,27.41,33.44,22.55,0.07,81.22,South South,5.5,6.5
1990-03-04,27.91,34.36,23.1,0.06,80.52,South South,5.5,6.5
1990-03-05,28.24,34.77,23.52,0.08,80.25,South South,5.5,6.5
1990-03-06,28.32,34.39,23.7,0.06,79.72,South South,5.5,6.5
1990-03-07,27.74,32.87,23.62,0.0,81.12,South South,5.5,6.5
1990-03-08,27.41,32.43,23.4,0.0,77.16,South South,5.5,6.5
1990-03-09,26.65,31.41,21.8,0.0,71.46,South South,5.5,6.5
1990-03-10,26.36,31.95,20.32,0.0,62.66,South South,5.5,6.5
1990-03-11,25.5,32.54,19.87,0.0,61.01,South South,5.5,6.5
1990-03-12,24.9,32.17,18.56,0.0,62.46,South South,5.5,6.5
1990-03-13,25.23,30.48,19.63,0.0,58.01,South South,5.5,6.5
1990-03-14,27.32,34.34,20.76,0.0,56.43,South South,5.5,6.5
1990-03-15,28.22,35.27,22.06,0.0,73.58,South South,5.5,6.5
1990-03-16,27.72,33.91,23.54,0.0,82.1,South South,5.5,6.5
1990-03-17,28.4,34.95,24.19,0.05,79.99,South South,5.5,6.5
1990-03-18,27.89,33.73,23.83,0.03,81.35,South South,5.5,6.5
1990-03-19,27.06,30.67,24.01,0.03,85.87,South South,5.5,6.5
1990-03-20,27.83,32.73,23.82,0.11,79.82,South South,5.5,6.5
1990-03-21,28.44,34.34,24.11,0.03,77.43,South South,5.5,6.5
1990-03-22,28.5,34.19,24.1,0.0,77.94,South South,5.5,6.5
1990-03-23,29.13,35.66,23.81,0.0,73.95,South South,5.5,6.5
1990-03-24,28.65,34.66,23.65,0.0,73.64,South South,5.5,6.5
1990-03-25,28.32,34.29,23.34,0.0,72.72,South South,5.5,6.5
