Date,Temperature,Temperature_Max,Temperature_Min,Rainfall,Humidity,Region,Latitude,Longitude
1990-01-01,24.46,29.47,20.8,0.0,82.96,South West,7.5,4.0
1990-01-02,24.69,30.07,20.29,0.0,85.11,South West,7.5,4.0
1990-01-03,25.1,30.62,20.77,0.0,83.69,South West,7.5,4.0
1990-01-04,25.07,30.08,20.7,0.0,84.39,South West,7.5,4.0
1990-01-05,25.15,29.92,21.25,0.0,84.89,South West,7.5,4.0
1990-01-06,25.33,30.1,21.25,0.0,82.65,South West,7.5,4.0
1990-01-07,25.84,31.08,21.98,0.0,79.43,South West,7.5,4.0
1990-01-08,24.38,30.12,20.42,0.0,76.83,South West,7.5,4.0
1990-01-09,25.04,30.03,20.8,0.0,73.59,South West,7.5,4.0
1990-01-10,24.64,30.08,20.69,0.0,75.24,South West,7.5,4.0
1990-01-11,24.97,30.47,20.55,0.0,80.56,South West,7.5,4.0
1990-01-12,25.71,31.41,21.43,0.0,80.64,South West,7.5,4.0
1990-01-13,25.77,31.61,21.48,0.0,78.25,South West,7.5,4.0
1990-01-14,25.5,31.55,20.9,0.0,76.42,South West,7.5,4.0
1990-01-15,25.04,30.26,20.73,0.0,82.96,South West,7.5,4.0
1990-01-16,25.58,31.27,21.19,0.0,82.67,South West,7.5,4.0
1990-01-17,25.67,31.56,21.13,0.0,81.83,South West,7.5,4.0
1990-01-18,25.54,31.12,21.02,0.0,81.75,South West,7.5,4.0
1990-01-19,25.72,31.13,20.99,0.0,83.22,South West,7.5,4.0
1990-01-20,26.06,31.1,21.91,0.0,82.7,South West,7.5,4.0
1990-01-21,25.61,29.91,22.75,3.19,87.11,South West,7.5,4.0
1990-01-22,26.14,31.27,21.94,2.95,82.16,South West,7.5,4.0
1990-01-23,25.86,30.39,22.62,2.88,82.49,South West,7.5,4.0
1990-01-24,25.79,30.21,21.08,0.59,63.76,South West,7.5,4.0
1990-01-25,24.63,29.6,20.41,0.01,59.08,South West,7.5,4.0
1990-01-26,25.01,31.28,20.03,0.0,71.51,South West,7.5,4.0
1990-01-27,25.53,31.25,21.18,0.0,81.79,South West,7.5,4.0
1990-01-28,26.64,31.82,22.72,0.0,75.12,South West,7.5,4.0
1990-01-29,25.83,31.76,20.69,0.0,68.58,South West,7.5,4.0
1990-01-30,26.35,32.54,20.93,0.0,75.61,South West,7.5,4.0
1990-01-31,26.9,32.92,22.01,0.0,73.14,South West,7.5,4.0
1990-02-01,26.78,33.68,22.19,0.0,72.37,South West,7.5,4.0
1990-02-02,26.44,32.32,21.88,0.0,81.58,South West,7.5,4.0
1990-02-03,26.61,31.92,22.3,0.0,81.04,South West,7.5,4.0
1990-02-04,26.74,32.76,21.82,0.0,75.3,South West,7.5,4.0
1990-02-05,25.27,32.16,18.52,0.0,56.65,South West,7.5,4.0
1990-02-06,25.44,31.74,19.12,0.0,60.87,South West,7.5,4.0
1990-02-07,25.79,31.67,19.75,0.0,69.09,South West,7.5,4.0
1990-02-08,26.28,32.08,20.4,0.0,65.15,South West,7.5,4.0
1990-02-09,26.09,31.75,21.51,0.0,78.0,South West,7.5,4.0
1990-02-10,26.56,32.19,21.35,0.0,76.33,South West,7.5,4.0
1990-02-11,26.14,32.03,21.19,0.0,74.24,South West,7.5,4.0
1990-02-12,25.84,32.22,21.81,0.0,64.47,South West,7.5,4.0
1990-02-13,25.81,32.84,20.16,0.0,62.37,South West,7.5,4.0
1990-02-14,26.1,32.72,20.43,0.0,73.17,South West,7.5,4.0
1990-02-15,26.64,33.1,21.57,0.0,76.39,South West,7.5,4.0
1990-02-16,27.05,33.72,22.01,0.01,77.96,South West,7.5,4.0
1990-02-17,26.95,32.52,22.69,0.01,81.64,South West,7.5,4.0
1990-02-18,26.74,31.47,23.3,0.01,82.57,South West,7.5,4.0
1990-02-19,25.23,28.13,22.7,0.01,86.81,South West,7.5,4.0
1990-02-20,26.12,31.83,21.54,7.98,81.99,South West,7.5,4.0
1990-02-21,26.08,30.96,22.16,11.51,82.44,South West,7.5,4.0
1990-02-22,25.52,30.36,22.0,12.96,83.99,South West,7.5,4.0
1990-02-23,24.94,28.58,21.82,16.69,84.9,South West,7.5,4.0
1990-02-24,25.2,30.27,21.27,6.04,76.75,South West,7.5,4.0
1990-02-25,24.58,29.16,20.43,0.0,75.51,South West,7.5,4.0
1990-02-26,25.36,32.41,19.77,0.0,64.25,South West,7.5,4.0
1990-02-27,24.77,32.99,17.68,0.0,61.2,South West,7.5,4.0
1990-02-28,25.24,32.3,19.99,0.0,73.39,South West,7.5,4.0
1990-03-01,25.86,32.12,20.76,0.0,80.72,South West,7.5,4.0
1990-03-02,26.45,32.62,21.37,0.0,80.72,South West,7.5,4.0
1990-03-03,26.6,31.91,22.39,0.0,81.98,South West,7.5,4.0
1990-03-04,27.58,34.3,22.7,0.0,77.14,South West,7.5,4.0
1990-03-05,27.05,32.69,22.52,0.0,81.33,South West,7.5,4.0
1990-03-06,26.96,32.33,22.97,0.0,80.7,South West,7.5,4.0
1990-03-07,27.39,33.49,22.3,0.0,73.77,South West,7.5,4.0
1990-03-08,27.15,33.29,22.66,0.0,76.3,South West,7.5,4.0
1990-03-09,26.7,33.09,22.3,0.0,77.63,South West,7.5,4.0
1990-03-10,25.76,32.75,20.74,0.0,66.9,South West,7.5,4.0
1990-03-11,25.68,34.35,18.51,0.0,60.01,South West,7.5,4.0
1990-03-12,25.96,34.0,18.71,0.0,62.34,South West,7.5,4.0
1990-03-13,26.02,33.82,20.47,0.0,67.41,South West,7.5,4.0
1990-03-14,26.24,33.82,20.66,0.0,71.48,South West,7.5,4.0
