,Temperature_Avg_C,Temperature_Max_C,Temperature_Min_C,Precipitation_mm,Region,Latitude,Longitude,City
1990-01-01,23.99,31.64,19.03,0.0,North_Central,9.082,8.675,Abuja
1990-01-02,24.64,31.88,19.29,0.0,North_Central,9.082,8.675,Abuja
1990-01-03,24.55,31.42,19.56,0.0,North_Central,9.082,8.675,Abuja
1990-01-04,23.71,31.33,17.91,0.0,North_Central,9.082,8.675,Abuja
1990-01-05,23.69,31.28,18.0,0.0,North_Central,9.082,8.675,Abuja
1990-01-06,23.78,31.78,17.94,0.0,North_Central,9.082,8.675,Abuja
1990-01-07,23.75,32.24,18.23,0.0,North_Central,9.082,8.675,Abuja
1990-01-08,23.98,32.55,17.51,0.0,North_Central,9.082,8.675,Abuja
1990-01-09,23.82,32.43,17.6,0.0,North_Central,9.082,8.675,Abuja
1990-01-10,23.34,31.99,17.09,0.0,North_Central,9.082,8.675,Abuja
1990-01-11,22.76,31.33,16.21,0.0,North_Central,9.082,8.675,Abuja
1990-01-12,22.79,32.1,15.78,0.0,North_Central,9.082,8.675,Abuja
1990-01-13,23.08,33.34,15.53,0.0,North_Central,9.082,8.675,Abuja
1990-01-14,23.8,33.77,16.72,0.0,North_Central,9.082,8.675,Abuja
1990-01-15,23.91,34.05,16.55,0.0,North_Central,9.082,8.675,Abuja
1990-01-16,24.19,33.26,17.38,0.0,North_Central,9.082,8.675,Abuja
1990-01-17,24.24,33.11,17.91,0.0,North_Central,9.082,8.675,Abuja
1990-01-18,23.86,33.05,16.81,0.0,North_Central,9.082,8.675,Abuja
1990-01-19,24.71,33.73,17.35,0.0,North_Central,9.082,8.675,Abuja
1990-01-20,24.8,33.71,17.71,0.0,North_Central,9.082,8.675,Abuja
1990-01-21,24.36,32.76,17.25,0.0,North_Central,9.082,8.675,Abuja
1990-01-22,24.82,33.97,17.64,0.0,North_Central,9.082,8.675,Abuja
1990-01-23,24.41,33.29,17.57,0.0,North_Central,9.082,8.675,Abuja
1990-01-24,25.2,33.4,19.14,0.0,North_Central,9.082,8.675,Abuja
1990-01-25,25.7,33.57,19.71,0.0,North_Central,9.082,8.675,Abuja
1990-01-26,24.93,33.3,19.21,0.04,North_Central,9.082,8.675,Abuja
1990-01-27,24.75,34.01,17.85,0.0,North_Central,9.082,8.675,Abuja
1990-01-28,25.52,34.28,19.08,0.0,North_Central,9.082,8.675,Abuja
1990-01-29,25.84,34.31,19.11,0.0,North_Central,9.082,8.675,Abuja
1990-01-30,26.22,34.91,20.54,0.0,North_Central,9.082,8.675,Abuja
1990-01-31,26.8,35.44,21.12,0.0,North_Central,9.082,8.675,Abuja
1990-02-01,26.08,35.23,19.08,0.0,North_Central,9.082,8.675,Abuja
1990-02-02,25.83,34.85,18.71,0.0,North_Central,9.082,8.675,Abuja
1990-02-03,25.32,34.53,18.14,0.0,North_Central,9.082,8.675,Abuja
1990-02-04,25.24,35.33,17.92,0.0,North_Central,9.082,8.675,Abuja
1990-02-05,24.43,33.84,17.73,0.0,North_Central,9.082,8.675,Abuja
1990-02-06,24.09,33.89,17.07,0.0,North_Central,9.082,8.675,Abuja
1990-02-07,24.57,33.63,17.08,0.0,North_Central,9.082,8.675,Abuja
1990-02-08,24.64,33.39,17.89,0.0,North_Central,9.082,8.675,Abuja
1990-02-09,25.66,33.25,19.85,1.05,North_Central,9.082,8.675,Abuja
1990-02-10,25.99,33.55,19.1,0.08,North_Central,9.082,8.675,Abuja
1990-02-11,25.11,34.27,18.32,0.0,North_Central,9.082,8.675,Abuja
1990-02-12,25.02,34.42,17.97,0.0,North_Central,9.082,8.675,Abuja
1990-02-13,25.9,35.24,18.75,0.0,North_Central,9.082,8.675,Abuja
1990-02-14,26.35,35.92,18.62,0.0,North_Central,9.082,8.675,Abuja
1990-02-15,26.41,35.87,19.31,0.0,North_Central,9.082,8.675,Abuja
1990-02-16,26.8,36.38,19.73,0.0,North_Central,9.082,8.675,Abuja
1990-02-17,26.93,35.68,20.4,0.0,North_Central,9.082,8.675,Abuja
1990-02-18,27.51,35.78,21.05,0.12,North_Central,9.082,8.675,Abuja
1990-02-19,27.7,35.91,21.46,0.01,North_Central,9.082,8.675,Abuja
1990-02-20,26.7,35.1,19.4,0.0,North_Central,9.082,8.675,Abuja
1990-02-21,26.1,34.73,19.84,0.0,North_Central,9.082,8.675,Abuja
1990-02-22,25.37,34.69,17.84,0.0,North_Central,9.082,8.675,Abuja
1990-02-23,25.05,34.32,17.76,0.0,North_Central,9.082,8.675,Abuja
1990-02-24,23.46,31.28,17.9,0.0,North_Central,9.082,8.675,Abuja
1990-02-25,23.58,31.47,17.52,0.0,North_Central,9.082,8.675,Abuja
1990-02-26,25.71,34.33,18.96,0.0,North_Central,9.082,8.675,Abuja
1990-02-27,26.56,35.74,19.18,0.0,North_Central,9.082,8.675,Abuja
1990-02-28,26.8,36.05,19.57,0.0,North_Central,9.082,8.675,Abuja
1990-03-01,26.52,36.46,18.77,0.0,North_Central,9.082,8.675,Abuja
1990-03-02,26.43,36.18,18.95,0.0,North_Central,9.082,8.675,Abuja
1990-03-03,26.97,37.02,18.82,0.0,North_Central,9.082,8.675,Abuja
1990-03-04,27.93,38.08,20.1,0.0,North_Central,9.082,8.675,Abuja
1990-03-05,27.98,37.77,20.12,0.0,North_Central,9.082,8.675,Abuja
1990-03-06,27.88,37.55,19.71,0.0,North_Central,9.082,8.675,Abuja
1990-03-07,26.83,36.23,19.59,0.01,North_Central,9.082,8.675,Abuja
1990-03-08,27.82,36.61,20.48,0.0,North_Central,9.082,8.675,Abuja
1990-03-09,27.37,35.37,20.14,0.0,North_Central,9.082,8.675,Abuja
1990-03-10,26.9,34.64,19.97,0.0,North_Central,9.082,8.675,Abuja
1990-03-11,27.11,35.26,21.12,0.0,North_Central,9.082,8.675,Abuja
1990-03-12,26.86,35.27,20.19,0.0,North_Central,9.082,8.675,Abuja
1990-03-13,25.92,35.04,18.49,0.0,North_Central,9.082,8.675,Abuja
1990-03-14,27.39,37.34,20.38,0.0,North_Central,9.082,8.675,Abuja
1990-03-15,27.68,37.55,19.98,0.0,North_Central,9.082,8.675,Abuja
1990-03-16,28.55,38.11,21.24,0.0,North_Central,9.082,8.675,Abuja
1990-03-17,28.09,36.76,22.28,0.0,North_Central,9.082,8.675,Abuja
1990-03-18,28.65,37.97,21.75,0.0,North_Central,9.082,8.675,Abuja
1990-03-19,26.68,34.11,22.06,0.0,North_Central,9.082,8.675,Abuja
1990-03-20,27.15,33.94,21.69,0.0,North_Central,9.082,8.675,Abuja
1990-03-21,27.69,36.46,20.44,0.0,North_Central,9.082,8.675,Abuja
1990-03-22,27.47,35.69,20.96,0.0,North_Central,9.082,8.675,Abuja
1990-03-23,28.3,37.83,21.05,0.0,North_Central,9.082,8.675,Abuja
1990-03-24,28.34,37.85,20.19,0.0,North_Central,9.082,8.675,Abuja
1990-03-25,28.69,37.84,21.35,0.0,North_Central,9.082,8.675,Abuja
1990-03-26,29.5,39.19,22.18,0.0,North_Central,9.082,8.675,Abuja
1990-03-27,29.6,39.19,22.37,0.0,North_Central,9.082,8.675,Abuja
1990-03-28,29.57,39.27,21.97,0.0,North_Central,9.082,8.675,Abuja
1990-03-29,29.65,38.69,21.87,0.03,North_Central,9.082,8.675,Abuja
1990-03-30,29.19,36.89,22.9,0.17,North_Central,9.082,8.675,Abuja
1990-03-31,29.43,37.38,23.02,0.09,North_Central,9.082,8.675,Abuja
1990-04-01,29.25,38.7,22.12,0.0,North_Central,9.082,8.675,Abuja
1990-04-02,29.25,37.3,22.94,0.0,North_Central,9.082,8.675,Abuja
1990-04-03,29.51,38.79,22.2,0.0,North_Central,9.082,8.675,Abuja
1990-04-04,28.45,35.03,23.44,0.0,North_Central,9.082,8.675,Abuja
1990-04-05,28.21,33.92,23.42,0.0,North_Central,9.082,8.675,Abuja
1990-04-06,27.58,34.17,23.1,4.01,North_Central,9.082,8.675,Abuja
1990-04-07,27.34,33.45,22.9,1.97,North_Central,9.082,8.675,Abuja
1990-04-08,27.73,34.11,22.91,1.42,North_Central,9.082,8.675,Abuja
1990-04-09,28.16,36.21,22.23,1.77,North_Central,9.082,8.675,Abuja
1990-04-10,27.98,35.71,22.29,3.96,North_Central,9.082,8.675,Abuja
1990-04-11,28.03,34.59,23.08,1.17,North_Central,9.082,8.675,Abuja
1990-04-12,26.33,31.08,22.99,1.44,North_Central,9.082,8.675,Abuja
1990-04-13,27.57,34.94,22.35,1.37,North_Central,9.082,8.675,Abuja
1990-04-14,26.88,33.34,22.12,1.8,North_Central,9.082,8.675,Abuja
1990-04-15,26.14,31.53,22.2,1.46,North_Central,9.082,8.675,Abuja
1990-04-16,26.87,32.74,22.08,3.03,North_Central,9.082,8.675,Abuja
1990-04-17,27.11,33.29,22.59,3.0,North_Central,9.082,8.675,Abuja
1990-04-18,25.84,29.71,22.99,3.1,North_Central,9.082,8.675,Abuja
1990-04-19,25.01,29.57,22.57,5.78,North_Central,9.082,8.675,Abuja
1990-04-20,25.02,29.6,21.97,4.02,North_Central,9.082,8.675,Abuja
1990-04-21,26.51,32.72,21.71,2.56,North_Central,9.082,8.675,Abuja
1990-04-22,26.85,33.35,22.81,5.31,North_Central,9.082,8.675,Abuja
1990-04-23,26.04,30.55,23.33,4.21,North_Central,9.082,8.675,Abuja
1990-04-24,26.69,32.61,22.94,7.78,North_Central,9.082,8.675,Abuja
1990-04-25,25.72,29.62,22.99,3.32,North_Central,9.082,8.675,Abuja
1990-04-26,26.87,32.68,22.79,5.33,North_Central,9.082,8.675,Abuja
1990-04-27,26.82,32.39,23.02,7.35,North_Central,9.082,8.675,Abuja
1990-04-28,25.96,30.38,23.25,7.83,North_Central,9.082,8.675,Abuja
1990-04-29,25.43,29.81,22.42,3.4,North_Central,9.082,8.675,Abuja
1990-04-30,24.76,28.15,22.39,4.89,North_Central,9.082,8.675,Abuja
1990-05-01,24.29,27.52,21.98,14.01,North_Central,9.082,8.675,Abuja
1990-05-02,23.76,26.53,21.37,11.44,North_Central,9.082,8.675,Abuja
1990-05-03,25.45,30.56,21.66,9.07,North_Central,9.082,8.675,Abuja
1990-05-04,25.52,30.37,21.89,11.89,North_Central,9.082,8.675,Abuja
1990-05-05,25.42,30.58,21.68,7.7,North_Central,9.082,8.675,Abuja
1990-05-06,24.4,27.89,22.24,7.59,North_Central,9.082,8.675,Abuja
1990-05-07,24.86,29.75,20.89,14.89,North_Central,9.082,8.675,Abuja
1990-05-08,24.11,26.83,21.99,8.51,North_Central,9.082,8.675,Abuja
1990-05-09,24.49,28.04,21.91,12.67,North_Central,9.082,8.675,Abuja
1990-05-10,23.97,26.39,22.3,9.04,North_Central,9.082,8.675,Abuja
1990-05-11,25.23,30.26,21.6,3.24,North_Central,9.082,8.675,Abuja
1990-05-12,24.29,27.0,22.04,5.32,North_Central,9.082,8.675,Abuja
1990-05-13,24.87,29.44,21.9,6.6,North_Central,9.082,8.675,Abuja
1990-05-14,24.45,27.14,22.56,10.11,North_Central,9.082,8.675,Abuja
1990-05-15,23.74,26.55,21.55,10.15,North_Central,9.082,8.675,Abuja
1990-05-16,23.54,26.28,21.61,2.87,North_Central,9.082,8.675,Abuja
1990-05-17,24.56,29.54,21.24,2.96,North_Central,9.082,8.675,Abuja
1990-05-18,25.44,31.25,20.95,3.39,North_Central,9.082,8.675,Abuja
1990-05-19,25.59,30.61,21.55,3.51,North_Central,9.082,8.675,Abuja
1990-05-20,24.87,28.85,22.67,3.6,North_Central,9.082,8.675,Abuja
1990-05-21,24.07,27.13,22.3,3.8,North_Central,9.082,8.675,Abuja
1990-05-22,24.0,27.7,21.65,2.72,North_Central,9.082,8.675,Abuja
1990-05-23,24.9,29.87,21.47,6.61,North_Central,9.082,8.675,Abuja
1990-05-24,24.89,29.51,21.6,3.91,North_Central,9.082,8.675,Abuja
1990-05-25,24.82,29.65,21.46,3.3,North_Central,9.082,8.675,Abuja
1990-05-26,24.15,27.62,21.87,2.67,North_Central,9.082,8.675,Abuja
1990-05-27,23.61,26.51,21.75,5.32,North_Central,9.082,8.675,Abuja
1990-05-28,23.4,26.9,21.28,3.97,North_Central,9.082,8.675,Abuja
1990-05-29,23.91,28.53,20.58,2.84,North_Central,9.082,8.675,Abuja
1990-05-30,23.04,26.13,20.61,3.4,North_Central,9.082,8.675,Abuja
1990-05-31,23.94,28.2,20.86,6.8,North_Central,9.082,8.675,Abuja
1990-06-01,24.68,28.93,21.65,7.16,North_Central,9.082,8.675,Abuja
1990-06-02,23.93,26.98,21.97,11.0,North_Central,9.082,8.675,Abuja
1990-06-03,23.58,26.62,21.54,8.77,North_Central,9.082,8.675,Abuja
