,Temperature_Avg_C,Temperature_Max_C,Temperature_Min_C,Precipitation_mm,Region,Latitude,Longitude,City
1990-01-01,25.37,35.14,16.85,0.0,North_East,11.746,13.191,Maiduguri
1990-01-02,25.45,35.04,17.41,0.0,North_East,11.746,13.191,Maiduguri
1990-01-03,25.02,34.5,16.68,0.0,North_East,11.746,13.191,Maiduguri
1990-01-04,24.71,34.01,16.71,0.0,North_East,11.746,13.191,Maiduguri
1990-01-05,25.02,34.6,16.43,0.0,North_East,11.746,13.191,Maiduguri
1990-01-06,25.1,33.94,17.58,0.0,North_East,11.746,13.191,Maiduguri
1990-01-07,24.38,32.63,17.42,0.0,North_East,11.746,13.191,Maiduguri
1990-01-08,25.14,35.33,16.84,0.0,North_East,11.746,13.191,Maiduguri
1990-01-09,25.03,34.84,17.06,0.0,North_East,11.746,13.191,Maiduguri
1990-01-10,23.86,33.75,16.02,0.0,North_East,11.746,13.191,Maiduguri
1990-01-11,23.48,35.1,14.16,0.0,North_East,11.746,13.191,Maiduguri
1990-01-12,23.35,34.57,14.26,0.0,North_East,11.746,13.191,Maiduguri
1990-01-13,23.07,34.5,13.62,0.0,North_East,11.746,13.191,Maiduguri
1990-01-14,24.74,36.19,14.49,0.0,North_East,11.746,13.191,Maiduguri
1990-01-15,25.1,36.15,15.85,0.0,North_East,11.746,13.191,Maiduguri
1990-01-16,25.58,36.7,16.28,0.0,North_East,11.746,13.191,Maiduguri
1990-01-17,25.95,36.69,16.39,0.0,North_East,11.746,13.191,Maiduguri
1990-01-18,26.57,37.26,17.2,0.0,North_East,11.746,13.191,Maiduguri
1990-01-19,26.4,36.63,17.78,0.0,North_East,11.746,13.191,Maiduguri
1990-01-20,25.48,36.37,16.61,0.0,North_East,11.746,13.191,Maiduguri
1990-01-21,25.1,36.4,14.57,0.0,North_East,11.746,13.191,Maiduguri
1990-01-22,25.95,37.3,15.92,0.0,North_East,11.746,13.191,Maiduguri
1990-01-23,26.94,37.72,17.48,0.0,North_East,11.746,13.191,Maiduguri
1990-01-24,28.05,38.56,18.56,0.0,North_East,11.746,13.191,Maiduguri
1990-01-25,27.45,37.19,18.67,0.0,North_East,11.746,13.191,Maiduguri
1990-01-26,26.05,34.78,18.44,0.0,North_East,11.746,13.191,Maiduguri
1990-01-27,25.46,33.43,19.09,0.0,North_East,11.746,13.191,Maiduguri
1990-01-28,25.74,34.37,18.82,0.0,North_East,11.746,13.191,Maiduguri
1990-01-29,25.51,34.85,17.82,0.0,North_East,11.746,13.191,Maiduguri
1990-01-30,25.85,35.13,18.01,0.0,North_East,11.746,13.191,Maiduguri
1990-01-31,26.08,36.11,17.46,0.0,North_East,11.746,13.191,Maiduguri
1990-02-01,25.54,35.43,16.62,0.0,North_East,11.746,13.191,Maiduguri
1990-02-02,25.85,36.43,16.48,0.0,North_East,11.746,13.191,Maiduguri
1990-02-03,25.46,35.23,17.61,0.0,North_East,11.746,13.191,Maiduguri
1990-02-04,24.52,33.49,16.7,0.0,North_East,11.746,13.191,Maiduguri
