,Temperature_Avg_C,Temperature_Max_C,Temperature_Min_C,Precipitation_mm,Region,Latitude,Longitude,City
1990-01-01,23.55,32.91,15.1,0.0,North_West,12.002,8.592,Kano
1990-01-02,23.62,33.5,16.53,0.0,North_West,12.002,8.592,Kano
1990-01-03,22.08,31.79,14.08,0.0,North_West,12.002,8.592,Kano
1990-01-04,22.45,31.88,13.94,0.0,North_West,12.002,8.592,Kano
1990-01-05,22.41,32.57,14.09,0.0,North_West,12.002,8.592,Kano
1990-01-06,22.03,32.42,13.82,0.0,North_West,12.002,8.592,Kano
1990-01-07,21.18,29.93,14.51,0.0,North_West,12.002,8.592,Kano
1990-01-08,20.96,30.33,13.71,0.0,North_West,12.002,8.592,Kano
1990-01-09,21.74,30.33,15.73,0.0,North_West,12.002,8.592,Kano
1990-01-10,21.0,30.36,14.2,0.0,North_West,12.002,8.592,Kano
1990-01-11,20.1,30.47,12.2,0.0,North_West,12.002,8.592,Kano
1990-01-12,19.79,30.47,11.57,0.0,North_West,12.002,8.592,Kano
1990-01-13,19.96,31.13,11.51,0.0,North_West,12.002,8.592,Kano
1990-01-14,20.36,31.85,11.35,0.0,North_West,12.002,8.592,Kano
1990-01-15,21.61,33.23,12.86,0.0,North_West,12.002,8.592,Kano
1990-01-16,22.21,33.76,13.25,0.0,North_West,12.002,8.592,Kano
1990-01-17,22.33,33.65,13.3,0.0,North_West,12.002,8.592,Kano
1990-01-18,23.02,33.92,14.2,0.0,North_West,12.002,8.592,Kano
1990-01-19,23.17,34.14,14.64,0.0,North_West,12.002,8.592,Kano
1990-01-20,22.91,34.18,14.42,0.0,North_West,12.002,8.592,Kano
1990-01-21,23.48,34.51,14.15,0.0,North_West,12.002,8.592,Kano
1990-01-22,25.9,35.27,16.73,0.0,North_West,12.002,8.592,Kano
1990-01-23,25.66,35.03,14.94,0.0,North_West,12.002,8.592,Kano
1990-01-24,24.57,34.49,14.75,0.0,North_West,12.002,8.592,Kano
1990-01-25,23.82,34.28,16.32,0.0,North_West,12.002,8.592,Kano
1990-01-26,22.1,30.86,15.39,0.0,North_West,12.002,8.592,Kano
1990-01-27,20.91,29.48,14.27,0.0,North_West,12.002,8.592,Kano
1990-01-28,21.52,29.93,15.55,0.0,North_West,12.002,8.592,Kano
1990-01-29,22.79,31.96,16.59,0.0,North_West,12.002,8.592,Kano
1990-01-30,23.19,33.08,15.97,0.0,North_West,12.002,8.592,Kano
1990-01-31,23.4,33.91,15.12,0.0,North_West,12.002,8.592,Kano
1990-02-01,22.38,33.56,13.63,0.0,North_West,12.002,8.592,Kano
1990-02-02,22.26,33.93,12.55,0.0,North_West,12.002,8.592,Kano
1990-02-03,22.53,33.03,14.41,0.0,North_West,12.002,8.592,Kano
1990-02-04,20.78,30.07,13.67,0.0,North_West,12.002,8.592,Kano
1990-02-05,20.84,30.09,13.74,0.0,North_West,12.002,8.592,Kano
1990-02-06,19.71,29.34,12.69,0.01,North_West,12.002,8.592,Kano
1990-02-07,19.15,29.46,10.84,0.0,North_West,12.002,8.592,Kano
1990-02-08,19.85,30.61,10.93,0.0,North_West,12.002,8.592,Kano
1990-02-09,20.48,31.04,11.86,0.0,North_West,12.002,8.592,Kano
1990-02-10,20.76,30.35,13.08,0.0,North_West,12.002,8.592,Kano
1990-02-11,20.46,29.93,12.64,0.0,North_West,12.002,8.592,Kano
1990-02-12,20.86,31.08,12.44,0.0,North_West,12.002,8.592,Kano
1990-02-13,21.7,32.01,12.77,0.0,North_West,12.002,8.592,Kano
1990-02-14,22.51,33.17,13.29,0.0,North_West,12.002,8.592,Kano
1990-02-15,23.17,34.01,13.7,0.0,North_West,12.002,8.592,Kano
1990-02-16,23.67,35.2,13.59,0.0,North_West,12.002,8.592,Kano
1990-02-17,24.63,35.9,15.44,0.0,North_West,12.002,8.592,Kano
1990-02-18,24.09,35.71,14.47,0.0,North_West,12.002,8.592,Kano
1990-02-19,23.28,34.53,13.82,0.0,North_West,12.002,8.592,Kano
1990-02-20,22.13,33.52,12.64,0.0,North_West,12.002,8.592,Kano
1990-02-21,22.01,32.24,13.4,0.0,North_West,12.002,8.592,Kano
1990-02-22,21.3,32.31,11.38,0.0,North_West,12.002,8.592,Kano
1990-02-23,20.61,30.44,12.13,0.0,North_West,12.002,8.592,Kano
1990-02-24,19.47,28.14,11.81,0.0,North_West,12.002,8.592,Kano
1990-02-25,19.85,28.07,12.22,0.0,North_West,12.002,8.592,Kano
1990-02-26,21.32,29.72,14.39,0.0,North_West,12.002,8.592,Kano
1990-02-27,21.8,31.8,14.49,0.0,North_West,12.002,8.592,Kano
1990-02-28,22.07,32.63,13.77,0.0,North_West,12.002,8.592,Kano
1990-03-01,22.52,33.23,13.48,0.0,North_West,12.002,8.592,Kano
1990-03-02,22.96,34.23,13.76,0.0,North_West,12.002,8.592,Kano
1990-03-03,23.57,35.11,14.04,0.0,North_West,12.002,8.592,Kano
1990-03-04,24.36,36.19,14.69,0.0,North_West,12.002,8.592,Kano
1990-03-05,24.35,35.82,14.7,0.0,North_West,12.002,8.592,Kano
1990-03-06,23.96,35.16,14.12,0.0,North_West,12.002,8.592,Kano
1990-03-07,23.6,33.66,15.27,0.0,North_West,12.002,8.592,Kano
1990-03-08,24.1,34.15,15.36,0.0,North_West,12.002,8.592,Kano
1990-03-09,24.63,34.12,16.73,0.0,North_West,12.002,8.592,Kano
1990-03-10,22.91,32.36,15.48,0.0,North_West,12.002,8.592,Kano
1990-03-11,22.04,31.98,13.76,0.0,North_West,12.002,8.592,Kano
1990-03-12,21.74,32.62,12.91,0.0,North_West,12.002,8.592,Kano
1990-03-13,21.69,32.57,13.51,0.0,North_West,12.002,8.592,Kano
1990-03-14,22.81,34.31,14.03,0.0,North_West,12.002,8.592,Kano
1990-03-15,24.39,34.66,15.12,0.0,North_West,12.002,8.592,Kano
1990-03-16,25.22,35.38,16.1,0.0,North_West,12.002,8.592,Kano
