,Temperature_Avg_C,Temperature_Max_C,Temperature_Min_C,Precipitation_mm,Region,Latitude,Longitude,City
1990-01-01,25.39,30.16,21.87,0.12,South_East,6.524,7.494,Enugu
1990-01-02,25.47,30.41,20.98,0.11,South_East,6.524,7.494,Enugu
1990-01-03,25.71,30.24,21.77,0.09,South_East,6.524,7.494,Enugu
1990-01-04,25.99,30.12,22.32,0.02,South_East,6.524,7.494,Enugu
1990-01-05,25.81,30.57,21.26,0.04,South_East,6.524,7.494,Enugu
1990-01-06,26.15,30.61,21.72,0.0,South_East,6.524,7.494,Enugu
1990-01-07,24.42,30.03,20.87,0.0,South_East,6.524,7.494,Enugu
1990-01-08,23.34,27.77,18.62,0.0,South_East,6.524,7.494,Enugu
1990-01-09,23.13,28.14,18.56,0.0,South_East,6.524,7.494,Enugu
1990-01-10,23.47,28.85,18.59,0.0,South_East,6.524,7.494,Enugu
1990-01-11,23.54,29.42,16.87,0.0,South_East,6.524,7.494,Enugu
1990-01-12,25.31,30.99,20.05,0.0,South_East,6.524,7.494,Enugu
1990-01-13,24.35,30.3,20.19,0.0,South_East,6.524,7.494,Enugu
1990-01-14,23.89,30.6,16.02,0.0,South_East,6.524,7.494,Enugu
1990-01-15,24.96,30.7,19.53,0.0,South_East,6.524,7.494,Enugu
1990-01-16,25.51,30.79,20.01,0.01,South_East,6.524,7.494,Enugu
1990-01-17,26.11,31.47,20.44,0.01,South_East,6.524,7.494,Enugu
1990-01-18,26.09,31.06,20.31,0.03,South_East,6.524,7.494,Enugu
1990-01-19,26.48,31.92,20.96,0.04,South_East,6.524,7.494,Enugu
1990-01-20,26.67,31.68,21.25,0.05,South_East,6.524,7.494,Enugu
1990-01-21,26.67,31.94,21.35,0.35,South_East,6.524,7.494,Enugu
1990-01-22,25.7,30.24,21.4,0.67,South_East,6.524,7.494,Enugu
1990-01-23,25.65,29.46,22.22,0.54,South_East,6.524,7.494,Enugu
1990-01-24,25.51,29.13,21.96,0.45,South_East,6.524,7.494,Enugu
1990-01-25,25.37,28.85,22.71,0.42,South_East,6.524,7.494,Enugu
1990-01-26,26.37,30.47,22.45,1.09,South_East,6.524,7.494,Enugu
1990-01-27,25.53,30.76,22.47,0.61,South_East,6.524,7.494,Enugu
1990-01-28,24.23,29.45,19.42,0.0,South_East,6.524,7.494,Enugu
1990-01-29,24.2,29.7,19.15,0.0,South_East,6.524,7.494,Enugu
1990-01-30,24.75,30.88,18.49,0.0,South_East,6.524,7.494,Enugu
1990-01-31,25.75,31.67,19.22,0.0,South_East,6.524,7.494,Enugu
1990-02-01,26.39,32.63,19.28,0.0,South_East,6.524,7.494,Enugu
1990-02-02,26.64,32.45,20.25,0.0,South_East,6.524,7.494,Enugu
1990-02-03,27.12,32.43,21.72,0.0,South_East,6.524,7.494,Enugu
1990-02-04,25.25,31.07,21.19,0.0,South_East,6.524,7.494,Enugu
1990-02-05,23.15,29.43,16.6,0.0,South_East,6.524,7.494,Enugu
1990-02-06,23.07,29.35,16.62,0.0,South_East,6.524,7.494,Enugu
1990-02-07,23.49,29.62,17.0,0.0,South_East,6.524,7.494,Enugu
1990-02-08,24.6,30.85,17.73,0.0,South_East,6.524,7.494,Enugu
1990-02-09,26.04,31.4,19.87,13.47,South_East,6.524,7.494,Enugu
1990-02-10,25.99,31.6,21.41,0.61,South_East,6.524,7.494,Enugu
1990-02-11,24.36,29.11,20.02,0.08,South_East,6.524,7.494,Enugu
1990-02-12,23.2,29.52,17.04,0.0,South_East,6.524,7.494,Enugu
1990-02-13,24.47,30.79,17.14,0.0,South_East,6.524,7.494,Enugu
1990-02-14,24.92,31.12,18.03,0.0,South_East,6.524,7.494,Enugu
1990-02-15,26.03,32.13,19.02,0.0,South_East,6.524,7.494,Enugu
1990-02-16,26.25,32.94,18.97,0.06,South_East,6.524,7.494,Enugu
1990-02-17,26.79,32.68,21.37,0.27,South_East,6.524,7.494,Enugu
1990-02-18,26.89,31.29,23.0,0.35,South_East,6.524,7.494,Enugu
1990-02-19,26.63,30.27,23.01,0.23,South_East,6.524,7.494,Enugu
1990-02-20,26.3,30.62,22.8,3.2,South_East,6.524,7.494,Enugu
1990-02-21,25.98,29.82,21.85,6.32,South_East,6.524,7.494,Enugu
1990-02-22,25.67,30.78,21.6,1.46,South_East,6.524,7.494,Enugu
1990-02-23,24.16,29.8,16.94,0.01,South_East,6.524,7.494,Enugu
1990-02-24,20.87,24.91,16.51,0.0,South_East,6.524,7.494,Enugu
1990-02-25,21.51,27.15,16.37,0.0,South_East,6.524,7.494,Enugu
1990-02-26,22.61,30.69,16.09,0.0,South_East,6.524,7.494,Enugu
1990-02-27,23.28,30.64,16.08,0.0,South_East,6.524,7.494,Enugu
1990-02-28,24.81,31.41,17.66,0.0,South_East,6.524,7.494,Enugu
1990-03-01,24.83,31.99,18.43,0.0,South_East,6.524,7.494,Enugu
1990-03-02,25.75,32.36,19.51,0.01,South_East,6.524,7.494,Enugu
1990-03-03,26.78,32.58,21.47,0.04,South_East,6.524,7.494,Enugu
1990-03-04,27.29,33.37,22.2,0.01,South_East,6.524,7.494,Enugu
1990-03-05,27.32,33.28,22.11,0.09,South_East,6.524,7.494,Enugu
