,Temperature_Avg_C,Temperature_Max_C,Temperature_Min_C,Precipitation_mm,Region,Latitude,Longitude,City
1990-01-01,25.33,28.45,22.88,0.1,South_South,5.148,7.361,Port Harcourt
1990-01-02,25.46,29.18,22.52,0.23,South_South,5.148,7.361,Port Harcourt
1990-01-03,25.4,28.83,22.9,0.3,South_South,5.148,7.361,Port Harcourt
1990-01-04,25.61,29.74,22.57,0.38,South_South,5.148,7.361,Port Harcourt
1990-01-05,24.81,27.53,22.79,0.25,South_South,5.148,7.361,Port Harcourt
1990-01-06,25.79,30.1,22.26,0.05,South_South,5.148,7.361,Port Harcourt
1990-01-07,26.34,30.72,22.02,0.05,South_South,5.148,7.361,Port Harcourt
1990-01-08,23.41,26.45,21.74,0.05,South_South,5.148,7.361,Port Harcourt
1990-01-09,24.02,28.09,20.93,0.02,South_South,5.148,7.361,Port Harcourt
1990-01-10,23.94,29.19,19.84,0.0,South_South,5.148,7.361,Port Harcourt
1990-01-11,24.96,30.49,19.98,0.05,South_South,5.148,7.361,Port Harcourt
1990-01-12,26.54,31.97,22.03,0.07,South_South,5.148,7.361,Port Harcourt
1990-01-13,25.94,31.23,22.36,0.06,South_South,5.148,7.361,Port Harcourt
1990-01-14,25.05,30.77,19.39,0.01,South_South,5.148,7.361,Port Harcourt
1990-01-15,26.1,31.86,21.75,0.07,South_South,5.148,7.361,Port Harcourt
1990-01-16,26.04,31.07,21.98,0.19,South_South,5.148,7.361,Port Harcourt
1990-01-17,26.55,31.59,22.26,0.4,South_South,5.148,7.361,Port Harcourt
1990-01-18,26.61,31.73,22.54,0.4,South_South,5.148,7.361,Port Harcourt
1990-01-19,26.91,32.31,22.54,0.52,South_South,5.148,7.361,Port Harcourt
1990-01-20,26.84,31.63,22.82,0.33,South_South,5.148,7.361,Port Harcourt
1990-01-21,26.67,31.29,22.85,0.62,South_South,5.148,7.361,Port Harcourt
1990-01-22,26.28,30.24,22.94,0.7,South_South,5.148,7.361,Port Harcourt
1990-01-23,26.37,30.6,23.3,0.64,South_South,5.148,7.361,Port Harcourt
1990-01-24,26.15,30.29,23.11,0.7,South_South,5.148,7.361,Port Harcourt
1990-01-25,26.04,29.52,23.46,0.48,South_South,5.148,7.361,Port Harcourt
1990-01-26,26.95,31.36,23.4,1.0,South_South,5.148,7.361,Port Harcourt
1990-01-27,26.24,30.92,22.61,1.28,South_South,5.148,7.361,Port Harcourt
1990-01-28,25.11,30.76,21.26,0.01,South_South,5.148,7.361,Port Harcourt
1990-01-29,24.76,30.2,20.43,0.02,South_South,5.148,7.361,Port Harcourt
1990-01-30,25.89,31.55,21.16,0.02,South_South,5.148,7.361,Port Harcourt
1990-01-31,26.71,32.41,21.5,0.0,South_South,5.148,7.361,Port Harcourt
1990-02-01,27.12,33.03,21.75,0.0,South_South,5.148,7.361,Port Harcourt
1990-02-02,27.61,33.48,22.93,0.0,South_South,5.148,7.361,Port Harcourt
1990-02-03,27.78,33.04,23.55,0.0,South_South,5.148,7.361,Port Harcourt
1990-02-04,26.47,32.54,22.34,0.0,South_South,5.148,7.361,Port Harcourt
1990-02-05,23.92,30.74,18.18,0.09,South_South,5.148,7.361,Port Harcourt
1990-02-06,23.44,30.08,18.42,0.0,South_South,5.148,7.361,Port Harcourt
1990-02-07,24.06,29.95,19.23,0.14,South_South,5.148,7.361,Port Harcourt
1990-02-08,25.71,31.52,18.74,1.79,South_South,5.148,7.361,Port Harcourt
1990-02-09,27.41,32.97,23.39,14.41,South_South,5.148,7.361,Port Harcourt
1990-02-10,27.12,32.47,23.27,5.13,South_South,5.148,7.361,Port Harcourt
1990-02-11,25.75,31.62,21.54,5.26,South_South,5.148,7.361,Port Harcourt
1990-02-12,23.91,29.94,18.71,0.07,South_South,5.148,7.361,Port Harcourt
1990-02-13,25.62,32.06,19.65,0.0,South_South,5.148,7.361,Port Harcourt
1990-02-14,26.23,32.28,21.37,0.05,South_South,5.148,7.361,Port Harcourt
1990-02-15,26.85,33.23,20.79,0.41,South_South,5.148,7.361,Port Harcourt
1990-02-16,27.22,33.85,21.72,0.3,South_South,5.148,7.361,Port Harcourt
1990-02-17,27.12,31.86,23.39,0.51,South_South,5.148,7.361,Port Harcourt
1990-02-18,26.54,29.87,23.97,0.83,South_South,5.148,7.361,Port Harcourt
1990-02-19,26.69,30.33,23.75,0.29,South_South,5.148,7.361,Port Harcourt
1990-02-20,25.85,29.21,23.73,2.48,South_South,5.148,7.361,Port Harcourt
1990-02-21,25.44,28.78,22.72,4.01,South_South,5.148,7.361,Port Harcourt
1990-02-22,26.33,31.78,21.85,1.18,South_South,5.148,7.361,Port Harcourt
1990-02-23,25.59,31.23,21.24,2.62,South_South,5.148,7.361,Port Harcourt
1990-02-24,22.7,27.37,20.32,0.03,South_South,5.148,7.361,Port Harcourt
1990-02-25,22.65,28.21,18.01,0.0,South_South,5.148,7.361,Port Harcourt
1990-02-26,23.71,31.71,16.51,0.0,South_South,5.148,7.361,Port Harcourt
1990-02-27,24.04,32.02,17.25,0.0,South_South,5.148,7.361,Port Harcourt
1990-02-28,26.57,33.65,20.61,0.0,South_South,5.148,7.361,Port Harcourt
1990-03-01,27.18,33.17,22.29,0.0,South_South,5.148,7.361,Port Harcourt
1990-03-02,27.14,33.43,22.32,0.28,South_South,5.148,7.361,Port Harcourt
